feature,represents,why_selected,derived,how_to_derive
total_price,Sum of item prices for the order.,Right-skewed with real outliers (see numeric summary); higher-value orders may ship differently.,False,Raw column from Notebook 1 / src/data/build_ml_table.py (sum of order_items.price per order_id).
total_freight,Sum of freight/shipping cost for the order.,Freight cost is a proxy for shipping method/distance and showed a non-trivial correlation with is_late.,False,Raw column from Notebook 1 / src/data/build_ml_table.py (sum of order_items.freight_value per order_id).
num_items,Number of items in the order.,More items can mean more picking/packing time and more chances for delay.,False,Raw column from Notebook 1 / src/data/build_ml_table.py (count of order_items rows per order_id).
num_sellers,Number of distinct sellers fulfilling the order.,"Multi-seller orders depend on every seller shipping on time, so this is a plausible risk factor for delay.",False,Raw column from Notebook 1 / src/data/build_ml_table.py (nunique of seller_id per order_id).
num_products,Number of distinct products in the order.,Similar reasoning to num_items -- more distinct products can mean more sourcing/packing complexity.,False,Raw column from Notebook 1 / src/data/build_ml_table.py (nunique of product_id per order_id).
total_weight,Total weight (grams) of all items in the order.,Heavier shipments can require different carriers/handling; distribution and outliers were checked in the numeric summary.,False,Raw column from Notebook 1 / src/data/build_ml_table.py (sum of product_weight_g per order_id).
avg_distance_km,Average real-world distance between the customer and the order's seller(s).,Geography analysis showed a higher late rate at greater distance buckets and a positive correlation with is_late.,True,"src/data/geo.py: haversine distance per item (seller zip vs customer zip coordinates), averaged per order_id in src/data/build_ml_table.py."
max_distance_km,Distance to the farthest seller in the order.,"An order is only complete once its farthest seller's items arrive, so this can matter more than the average.",True,"Same per-item haversine distance as avg_distance_km (src/data/geo.py), aggregated with max instead of mean, per order_id."
same_state,Whether at least one seller is in the same state as the customer.,"Geography analysis showed a different late rate for same-state vs different-state shipments; a cheap, low-cardinality complement to the distance features.",True,"src/features/derived_features.py: customer_state in seller_states.split(', ') -- boolean, computed from two existing columns, no new data needed."
"delivery_delay_days (reference only, NOT a model input)",Difference in days between the actual and estimated delivery date -- this is how is_late itself is built.,Not selected as a feature: it leaks the label. Listed here only to flag it must stay excluded from config.yaml's features.* lists.,True,N/A -- excluded on purpose. See src/data/labeling.py.
purchase_month,Calendar month the order was purchased in.,"Date analysis showed the late rate moves across months (seasonality, e.g. holiday shopping peaks).",True,src/features/derived_features.py: order_purchase_timestamp.dt.month.
purchase_weekday,Day of week the order was purchased.,Date analysis showed a weekday effect on the late rate.,True,src/features/derived_features.py: order_purchase_timestamp.dt.day_name().
is_holiday,Whether the order was purchased on a Brazilian public holiday.,Date analysis showed a different late rate on holidays vs regular days.,True,src/features/derived_features.py: order_purchase_timestamp.dt.normalize().isin(holidays.Brazil(...)).
order_status,"Order status at the time the data was extracted (e.g. delivered, canceled).","Relations analysis showed a different late rate by status; almost all rows are 'delivered' after the Notebook 2 filtering, but this column is dropped from the final feature set for label-leakage reasons -- see src/data/labeling.py (undelivered orders are dropped before is_late is computed, so order_status becomes near-constant and post-outcome for the rows that remain).",False,Raw column from orders. NOT included in config.yaml's features.*.
payment_types,"Payment method(s) used for the order (e.g. credit_card, boleto, voucher).",Relations analysis showed the late rate varies by payment type.,False,Raw column from Notebook 1 / src/data/build_ml_table.py (aggregated unique payment_type values per order_id); multi-hot encoded in src/features/build_features.py since an order can have more than one payment type.
num_payment_sequential,Number of payment installments/methods used for the order.,A simple numeric complement to payment_types; more installments could reflect order value or customer behavior linked to delay.,False,Raw column from Notebook 1 / src/data/build_ml_table.py (count of order_payments rows per order_id).
customer_state,State of the customer.,Geography analysis showed the late rate differs meaningfully across states.,False,"Raw column from customers. High-cardinality-safe (27 Brazilian states), unlike zip prefix."
customer_state_pressure_5d,Trailing 5-day causal order count at the customer-state level.,"Added after the original Notebook 4 EDA, in response to the F1 plateau diagnosed in Notebook 6 -- see approach-and-tools notes: existing features had weak correlation with is_late (max 0.072), so shipping-pressure features were introduced as a proxy for operational load.",True,"src/features/shipping_pressure.py (causal, via np.searchsorted)."
seller_pressure_5d,Trailing 5-day causal order count at the seller-state level.,"Same rationale as customer_state_pressure_5d, at the seller side.",True,"src/features/shipping_pressure.py (causal, via np.searchsorted)."
